MANDT,MSEHI,KZEX3,KZEX6,ANDEC,KZKEH,KZWOB,KZ1EH,KZ2EH,DIMID,ZAEHL,NENNR,EXP10,ADDKO,EXPON,DECAN,ISOCODE,PRIMARY,TEMP_VALUE,TEMP_UNIT,FAMUNIT,PRESS_VAL,PRESS_UNIT
900,MMQ,X,X,0,X,,,,VOLUME,1,1,-9,0,0,0,MMQ,,0.00E+00,,,0.00E+00,
900,MMS,X,X,0,,,,,SPEED,1,1000,0,0,0,0,C16,,0.00E+00,,,0.00E+00,
900,MNM,X,X,0,X,,,,SURFTE,1,1000,0,0,0,0,C22,,0.00E+00,,,0.00E+00,
900,MOK,X,X,0,,,,,SPAEQU,1,1,0,0,0,0,C19,,0.00E+00,,,0.00E+00,
900,MOL,X,X,0,,,,,MOLQU,1,1,0,0,0,0,C34,,0.00E+00,,,0.00E+00,
900,MON,X,X,0,X,,,,TIME,2592000,1,0,0,0,0,MON,X,0.00E+00,,,0.00E+00,
900,MPA,X,X,0,,,,,PRESS,1000000,1,0,0,0,0,MPA,,0.00E+00,,,0.00E+00,
900,MPB,X,X,0,,,,,MPROPO,1,1,-9,0,0,0,,,0.00E+00,,,0.00E+00,
900,MPG,X,X,3,X,,,,SURINV,201168,473168,6,0,0,0,,,0.00E+00,,,0.00E+00,
900,MPM,X,X,0,,,,,MPROPO,1,1,-6,0,0,0,,,0.00E+00,,,0.00E+00,
900,MPS,X,X,0,X,,,,VISDYN,1,1000,0,0,0,0,C24,,0.00E+00,,,0.00E+00,
900,MPT,X,X,0,,,,,MPROPO,1,1,-12,0,0,0,,,0.00E+00,,,0.00E+00,
900,MPZ,X,X,0,,,,,STEXKZ,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,MQH,X,X,0,X,,,,VOLFLO,1,3600,0,0,0,0,MQH,,0.00E+00,,,0.00E+00,
900,MS,X,X,0,X,,,,TIME,1,1000,0,0,0,0,C26,,0.00E+00,,,0.00E+00,
900,MS2,X,X,0,X,,,,ACCEL,1,1,0,0,0,0,MSK,X,0.00E+00,,,0.00E+00,
900,MTE,X,X,0,,,,,MAGNFD,1,1000,0,0,0,0,C29,,0.00E+00,,,0.00E+00,
900,MTM,X,X,0,,,,,TKONZ,1000000,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,MTS,X,X,0,X,,,,SPEED,1,3600,0,0,0,0,MTS,,0.00E+00,,,0.00E+00,
900,MTf,X,X,0,,,,,TKONZ,1000000,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,MV,X,X,0,,,,,VOLTAG,1,1000,0,0,0,0,2Z,,0.00E+00,,,0.00E+00,
900,MVA,X,X,0,X,,,,POWER,1,1,6,0,0,0,MVA,,0.00E+00,,,0.00E+00,
900,MW,X,X,0,,,,,POWER,1,1000,0,0,0,0,C31,,0.00E+00,,,0.00E+00,
900,MWH,X,X,0,X,,,,ENERGY,3600,1,6,0,0,0,MWH,,0.00E+00,,,0.00E+00,
900,N,X,X,0,,,,,FORCE,1,1,0,0,0,0,NEW,X,0.00E+00,,,0.00E+00,
900,NAM,X,X,3,X,,,,LENGTH,1,1000000,-3,0,0,0,C45,,0.00E+00,,,0.00E+00,
900,NGT,X,X,0,,,,,MPROPO,1,1000,-9,0,0,0,,,0.00E+00,,,0.00E+00,
900,NM,X,X,0,X,,,,SURFTE,1,1,0,0,0,0,4P,,0.00E+00,,,0.00E+00,
900,NS,X,X,0,X,,,,TIME,1,1000000,-3,0,0,0,C47,,0.00E+00,,,0.00E+00,
900,OCM,X,X,0,X,,,,SPREST,1,100,0,0,0,0,C60,,0.00E+00,,,0.00E+00,
900,OHM,X,X,0,,,,,RESIST,1,1,0,0,0,0,OHM,X,0.00E+00,,,0.00E+00,
900,OM,X,X,0,X,,,,SPREST,1,1,0,0,0,0,C61,,0.00E+00,,,0.00E+00,
900,OZ,X,X,0,X,,,,MASS,56699,2000000,0,0,0,0,ONZ,,0.00E+00,,,0.00E+00,
900,OZA,X,X,0,X,,,,VOLUME,29573,1,-9,0,0,0,OZA,X,0.00E+00,,,0.00E+00,
900,P,X,X,0,X,,,,POINTS,1,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,PA,X,X,0,,,,,PRESS,1,1,0,0,0,0,PAL,X,0.00E+00,,,0.00E+00,
900,PAA,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,PR,,0.00E+00,,,0.00E+00,
900,PAK,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,PK,X,0.00E+00,,,0.00E+00,
900,PAL,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,PF,X,0.00E+00,,,0.00E+00,
900,PAS,X,X,0,X,,,,VISDYN,1,1,0,0,0,0,C65,,0.00E+00,,,0.00E+00,
900,PCT,X,X,99,X,,,,AAAADL,1,1,0,0,0,8,,,0.00E+00,,,0.00E+00,
900,PDA,X,X,0,X,,,,TIME,28800,1,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,PMI,X,X,0,X,,,,FREQU,1,60,0,0,0,0,,,0.00E+00,,,0.00E+00,
900,PMR,X,X,0,X,,,,PERMEA,1,1,0,0,0,3,,,0.00E+00,,,0.00E+00,
900,PPB,X,X,0,X,,,,PROPOR,1,1,-9,0,0,0,61,,0.00E+00,,,0.00E+00,
900,PPM,X,X,0,X,,,,PROPOR,1,1,-6,0,0,0,59,,0.00E+00,,,0.00E+00,
900,PPT,X,X,0,X,,,,PROPOR,1,1,-12,0,0,0,,,0.00E+00,,,0.00E+00,
900,PRM,X,X,0,X,,,,PERMEA,1,6000000,0,0,0,3,,,0.00E+00,,,0.00E+00,
900,PRS,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,IE,,0.00E+00,,,0.00E+00,
900,PS,X,X,0,X,,,,TIME,1,1,-12,0,0,0,,,0.00E+00,,,0.00E+00,
900,PSI,X,X,0,,,,,PRESS,6894757,1,-3,0,0,0,,,0.00E+00,,,0.00E+00,
900,PT,X,X,0,X,,,,VOLUME,473168,1,-9,0,0,0,PT,,0.00E+00,,,0.00E+00,
900,QT,X,X,0,X,,,,VOLUME,946336,1,-9,0,0,0,QT,,0.00E+00,,,0.00E+00,
900,RHO,X,X,0,X,,,,DENSI,1000,1,0,0,0,0,23,,0.00E+00,,,0.00E+00,
900,ROL,X,X,0,X,,,,AAAADL,1,1,0,0,0,0,RO,X,0.00E+00,,,0.00E+00,
